participant,trial,video_id,skill_level,tool,mAP50,mAP75,mAP50_95,precision,recall,f1,frames,method
P3,1,P3.1,novice,viscoelastic cannula,0.9583,0.5,0.5062,0.9583,0.9583,0.9583,48,SAM3_simultaneous
P3,1,P3.1,novice,OVERALL,0.9544,0.7069,0.6197,0.9544,0.9544,0.9544,691,SAM3_simultaneous
P3,2,P3.2,novice,capsulorhexis forceps,0.97,0.6824,0.603,0.97,0.97,0.97,233,SAM3_simultaneous
P3,2,P3.2,novice,cystotome needle,0.9406,0.5347,0.5347,0.9406,0.9406,0.9406,202,SAM3_simultaneous
P3,2,P3.2,novice,diamond keratome iso,0.7925,0.5283,0.4642,0.7925,0.7925,0.7925,53,SAM3_simultaneous
P3,2,P3.2,novice,diamond keratome straight,0.8095,0.119,0.2833,0.8095,0.8095,0.8095,42,SAM3_simultaneous
P3,2,P3.2,novice,forceps,0.6053,0.5526,0.4096,0.6053,0.6053,0.6053,114,SAM3_simultaneous
P3,2,P3.2,novice,viscoelastic cannula,0.9762,0.8333,0.65,0.9762,0.9762,0.9762,42,SAM3_simultaneous
P3,2,P3.2,novice,OVERALL,0.8653,0.5734,0.5198,0.8135,0.8776,0.8443,603,SAM3_simultaneous
P3,3,P3.3,novice,capsulorhexis forceps,0.4221,0.1364,0.1844,0.4221,0.4221,0.4221,308,SAM3_simultaneous
P3,3,P3.3,novice,cystotome needle,0.37,0.14,0.184,0.37,0.37,0.37,100,SAM3_simultaneous
P3,3,P3.3,novice,diamond keratome iso,0.7447,0.4255,0.4,0.7447,0.7447,0.7447,47,SAM3_simultaneous
P3,3,P3.3,novice,diamond keratome straight,0.0833,0.0833,0.0667,0.0833,0.0833,0.0833,12,SAM3_simultaneous
P3,3,P3.3,novice,forceps,0.7429,0.3429,0.3686,0.7429,0.7429,0.7429,35,SAM3_simultaneous
P3,3,P3.3,novice,viscoelastic cannula,0.6364,0.2727,0.3121,0.6364,0.6364,0.6364,33,SAM3_simultaneous
P3,3,P3.3,novice,OVERALL,0.4641,0.185,0.2203,0.4673,0.4647,0.466,523,SAM3_simultaneous
P3,4,P3.4,novice,capsulorhexis forceps,0.7921,0.4516,0.4552,0.7921,0.7921,0.7921,279,SAM3_simultaneous
P3,4,P3.4,novice,cystotome needle,0.0312,0.0,0.0117,0.0312,0.0312,0.0312,128,SAM3_simultaneous
P3,4,P3.4,novice,diamond keratome iso,0.9792,0.6875,0.55,0.9792,0.9792,0.9792,48,SAM3_simultaneous
P3,4,P3.4,novice,diamond keratome straight,0.8125,0.0,0.2875,0.8125,0.8125,0.8125,16,SAM3_simultaneous
P3,4,P3.4,novice,forceps,0.9608,0.9216,0.7647,0.9608,0.9608,0.9608,51,SAM3_simultaneous
P3,4,P3.4,novice,viscoelastic cannula,0.8065,0.5161,0.4516,0.8065,0.8065,0.8065,31,SAM3_simultaneous
P3,4,P3.4,novice,OVERALL,0.6415,0.3966,0.3791,0.6492,0.6492,0.6492,537,SAM3_simultaneous
P3,5,P3.5,novice,capsulorhexis forceps,0.9752,0.7327,0.6594,0.9752,0.9752,0.9752,202,SAM3_simultaneous
P3,5,P3.5,novice,cystotome needle,0.8824,0.4622,0.495,0.8824,0.8824,0.8824,119,SAM3_simultaneous
P3,5,P3.5,novice,diamond keratome iso,0.9778,0.7111,0.56,0.9778,0.9778,0.9778,45,SAM3_simultaneous
P3,5,P3.5,novice,diamond keratome straight,0.6923,0.0769,0.2154,0.6923,0.6923,0.6923,13,SAM3_simultaneous
P3,5,P3.5,novice,forceps,0.8837,0.4419,0.4488,0.8837,0.8837,0.8837,43,SAM3_simultaneous
P3,5,P3.5,novice,viscoelastic cannula,0.4857,0.2286,0.2486,0.4857,0.4857,0.4857,35,SAM3_simultaneous
P3,5,P3.5,novice,OVERALL,0.8986,0.58,0.5458,0.8972,0.8972,0.8972,444,SAM3_simultaneous
P4,1,P4.1,novice,capsulorhexis forceps,0.971,0.8261,0.679,0.971,0.971,0.971,276,SAM3_simultaneous
P4,1,P4.1,novice,cystotome needle,0.9293,0.4205,0.4661,0.9293,0.9293,0.9293,283,SAM3_simultaneous
P4,1,P4.1,novice,diamond keratome iso,0.8,0.375,0.4175,0.8,0.8,0.8,40,SAM3_simultaneous
P4,1,P4.1,novice,diamond keratome straight,0.7812,0.4688,0.425,0.7812,0.7812,0.7812,32,SAM3_simultaneous
P4,1,P4.1,novice,forceps,0.3137,0.3039,0.1941,0.3137,0.3137,0.3137,102,SAM3_simultaneous
P4,1,P4.1,novice,viscoelastic cannula,0.5625,0.225,0.255,0.5625,0.5625,0.5625,80,SAM3_simultaneous
P4,1,P4.1,novice,OVERALL,0.8168,0.5283,0.4834,0.7447,0.818,0.7796,741,SAM3_simultaneous
P4,2,P4.2,novice,capsulorhexis forceps,0.9758,0.8763,0.7282,0.9758,0.9758,0.9758,372,SAM3_simultaneous
P4,2,P4.2,novice,cystotome needle,0.018,0.006,0.0054,0.018,0.018,0.018,167,SAM3_simultaneous
P4,2,P4.2,novice,diamond keratome iso,0.963,0.1852,0.3963,0.963,0.963,0.963,27,SAM3_simultaneous
P4,2,P4.2,novice,diamond keratome straight,0.4737,0.1053,0.1921,0.4737,0.4737,0.4737,38,SAM3_simultaneous
P4,2,P4.2,novice,forceps,0.3939,0.2626,0.2283,0.3939,0.3939,0.3939,99,SAM3_simultaneous
P4,2,P4.2,novice,viscoelastic cannula,0.027,0.027,0.0162,0.027,0.027,0.027,37,SAM3_simultaneous
P4,2,P4.2,novice,OVERALL,0.5952,0.51,0.4295,0.5792,0.6081,0.5933,675,SAM3_simultaneous
P4,3,P4.3,novice,capsulorhexis forceps,0.9694,0.8502,0.7202,0.9694,0.9694,0.9694,327,SAM3_simultaneous
P4,3,P4.3,novice,cystotome needle,0.7008,0.5354,0.4693,0.7008,0.7008,0.7008,127,SAM3_simultaneous
P4,3,P4.3,novice,diamond keratome iso,0.8529,0.3824,0.3824,0.8529,0.8529,0.8529,34,SAM3_simultaneous
P4,3,P4.3,novice,diamond keratome straight,0.3636,0.1515,0.1758,0.3636,0.3636,0.3636,33,SAM3_simultaneous
P4,3,P4.3,novice,forceps,0.0543,0.0109,0.0239,0.0543,0.0543,0.0543,92,SAM3_simultaneous
P4,3,P4.3,novice,viscoelastic cannula,0.8776,0.1837,0.3755,0.8776,0.8776,0.8776,49,SAM3_simultaneous
P4,3,P4.3,novice,OVERALL,0.7655,0.6034,0.5321,0.6923,0.7477,0.719,595,SAM3_simultaneous
P4,4,P4.4,novice,capsulorhexis forceps,0.9715,0.8078,0.7502,0.9715,0.9715,0.9715,281,SAM3_simultaneous
P4,4,P4.4,novice,cystotome needle,0.8276,0.2529,0.3667,0.8276,0.8276,0.8276,87,SAM3_simultaneous
P4,4,P4.4,novice,diamond keratome iso,0.963,0.9259,0.7944,0.963,0.963,0.963,54,SAM3_simultaneous
P4,4,P4.4,novice,diamond keratome straight,0.48,0.04,0.116,0.48,0.48,0.48,25,SAM3_simultaneous
