method,tool,metric,criterion,spearman_rho,p_value,significant
SAM3_sequential,forceps,usage_time,(6),-0.07693734609954331,0.7147122703591811,False
SAM3_sequential,forceps,usage_time,(7),-0.13058351157921505,0.5338341514213379,False
SAM3_sequential,forceps,usage_time,(14),-0.19509848862774365,0.35000747274041166,False
SAM3_sequential,forceps,usage_time,(15),-0.01968349343143702,0.9255956407031479,False
SAM3_sequential,forceps,usage_time,(16),0.12427652607891419,0.5539361718151085,False
SAM3_sequential,forceps,usage_time,(17),0.20323040840798276,0.329883938332426,False
SAM3_sequential,viscoelastic cannula,path_length,(4),-0.24268133584853777,0.2424599098190516,False
SAM3_sequential,viscoelastic cannula,path_length,(5),-0.40967324519935133,0.04197655533180343,True
SAM3_sequential,viscoelastic cannula,path_length,(6),-0.3155999698120231,0.12434361422966696,False
SAM3_sequential,viscoelastic cannula,path_length,(7),-0.3246860595960925,0.11329246326616349,False
SAM3_sequential,viscoelastic cannula,path_length,(14),-0.2496613647041107,0.22875501354117367,False
SAM3_sequential,viscoelastic cannula,path_length,(15),-0.3789865374578478,0.06171938341560807,False
SAM3_sequential,viscoelastic cannula,path_length,(16),-0.2191364467546647,0.29259431957815396,False
SAM3_sequential,viscoelastic cannula,path_length,(17),-0.18171581631406405,0.38466462757551945,False
SAM3_sequential,viscoelastic cannula,usage_time,(4),-0.2600657344316458,0.20929899353144288,False
SAM3_sequential,viscoelastic cannula,usage_time,(5),-0.24414393053584985,0.23954456572132096,False
SAM3_sequential,viscoelastic cannula,usage_time,(6),-0.2515791882740851,0.22508149980259676,False
SAM3_sequential,viscoelastic cannula,usage_time,(7),-0.21951712038971286,0.2917356495631059,False
SAM3_sequential,viscoelastic cannula,usage_time,(14),-0.23365962152959469,0.2609560098621326,False
SAM3_sequential,viscoelastic cannula,usage_time,(15),-0.19379109512394183,0.35330915767392246,False
SAM3_sequential,viscoelastic cannula,usage_time,(16),0.0345714699819525,0.8696868070828366,False
SAM3_sequential,viscoelastic cannula,usage_time,(17),0.0553513713956701,0.79271306699373,False
SAM3_sequential,ALL_TOOLS,total_path_length,(4),-0.42758140125694744,0.033002782884426915,True
SAM3_sequential,ALL_TOOLS,total_path_length,(5),-0.344808314709454,0.09141213883995888,False
SAM3_sequential,ALL_TOOLS,total_path_length,(6),-0.5204631081110557,0.007648042865271202,True
SAM3_sequential,ALL_TOOLS,total_path_length,(7),-0.28244066150738156,0.1713288281050508,False
SAM3_sequential,ALL_TOOLS,total_path_length,(14),-0.4247160778522351,0.03432527923729181,True
SAM3_sequential,ALL_TOOLS,total_path_length,(15),-0.2901235270689092,0.15947974659394173,False
SAM3_sequential,ALL_TOOLS,total_path_length,(16),-0.4644789015748357,0.019327332589303203,True
SAM3_sequential,ALL_TOOLS,total_path_length,(17),-0.3336963172312813,0.1030637123677071,False
SAM3_sequential,ALL_TOOLS,total_usage_time,(4),-0.387208982376006,0.05583933373088665,False
SAM3_sequential,ALL_TOOLS,total_usage_time,(5),-0.3346308418533327,0.10204340568712811,False
SAM3_sequential,ALL_TOOLS,total_usage_time,(6),-0.4123762637983234,0.04051075082278862,True
SAM3_sequential,ALL_TOOLS,total_usage_time,(7),-0.3358149165265176,0.10076143522787476,False
SAM3_sequential,ALL_TOOLS,total_usage_time,(14),-0.44835133444260317,0.024586953644497287,True
SAM3_sequential,ALL_TOOLS,total_usage_time,(15),-0.413759207285568,0.039776614050762285,True
SAM3_sequential,ALL_TOOLS,total_usage_time,(16),-0.23138029582692388,0.2657691939650427,False
SAM3_sequential,ALL_TOOLS,total_usage_time,(17),-0.09211459568085396,0.661439573585887,False
YOLO26,capsulorhexis forceps,path_length,(4),-0.03466876226407682,0.8693231479734906,False
YOLO26,capsulorhexis forceps,path_length,(5),-0.16386929807974054,0.43379620704614374,False
YOLO26,capsulorhexis forceps,path_length,(6),-0.1581954735899865,0.4500945943490165,False
YOLO26,capsulorhexis forceps,path_length,(7),-0.22007840718595115,0.2904724631653222,False
YOLO26,capsulorhexis forceps,path_length,(14),-0.4943211661754179,0.012013321405985303,True
YOLO26,capsulorhexis forceps,path_length,(15),-0.35261167136067423,0.08384057371373066,False
YOLO26,capsulorhexis forceps,path_length,(16),-0.3664322851918208,0.07160529765090687,False
YOLO26,capsulorhexis forceps,path_length,(17),-0.48650279913174427,0.013661000019525901,True
YOLO26,capsulorhexis forceps,usage_time,(4),-0.11556254088025607,0.5822649044039645,False
YOLO26,capsulorhexis forceps,usage_time,(5),-0.11948802984981079,0.5694253374073042,False
YOLO26,capsulorhexis forceps,usage_time,(6),-0.23847967643690468,0.2509639869531239,False
YOLO26,capsulorhexis forceps,usage_time,(7),-0.3488262870753558,0.08745201985104765,False
YOLO26,capsulorhexis forceps,usage_time,(14),-0.5064082773213598,0.00979140628334253,True
YOLO26,capsulorhexis forceps,usage_time,(15),-0.3201502977026145,0.11871517439340802,False
YOLO26,capsulorhexis forceps,usage_time,(16),-0.3018209204785897,0.1425687756862212,False
YOLO26,capsulorhexis forceps,usage_time,(17),-0.4402478640699825,0.02763554427120381,True
YOLO26,cystotome needle,path_length,(4),-0.32482686039399433,0.11312709465482441,False
YOLO26,cystotome needle,path_length,(5),-0.020562903028816623,0.9222810582373554,False
YOLO26,cystotome needle,path_length,(6),-0.5105659537687356,0.009110967944844483,True
YOLO26,cystotome needle,path_length,(7),-0.5093097795998659,0.009312269286912412,True
YOLO26,cystotome needle,path_length,(14),-0.533471869415097,0.006028285456274491,True
YOLO26,cystotome needle,path_length,(15),-0.45784664806959224,0.021366597784028985,True
YOLO26,cystotome needle,path_length,(16),-0.28665978847593987,0.16474800894031558,False
YOLO26,cystotome needle,path_length,(17),-0.6111029179510014,0.0011739492867803036,True
YOLO26,cystotome needle,usage_time,(4),-0.2959391894950312,0.1509036082467043,False
YOLO26,cystotome needle,usage_time,(5),-0.03428479630509051,0.8707584852695762,False
YOLO26,cystotome needle,usage_time,(6),-0.4474149330924982,0.0249246885659358,True
YOLO26,cystotome needle,usage_time,(7),-0.46970835670424915,0.01783371197595804,True
YOLO26,cystotome needle,usage_time,(14),-0.4987280350015199,0.01115939921071618,True
YOLO26,cystotome needle,usage_time,(15),-0.4327595305599599,0.030716167201974898,True
YOLO26,cystotome needle,usage_time,(16),-0.32307108327733114,0.11520195307524955,False
