participant,trial,video_id,skill_level,tool,path_length,usage_time,num_detections,method
P4,5,P4.5,novice,diamond keratome iso,2155.8434143867107,9.066666666666666,136,SAM3_simultaneous
P4,5,P4.5,novice,diamond keratome straight,319.03324255902504,4.2,63,SAM3_simultaneous
P4,5,P4.5,novice,forceps,2095.574012872304,23.533333333333335,353,SAM3_simultaneous
P4,5,P4.5,novice,viscoelastic cannula,607.7589904766919,4.8,72,SAM3_simultaneous
P5,1,P5.1,novice,capsulorhexis forceps,8035.640429698356,62.4,936,SAM3_simultaneous
P5,1,P5.1,novice,cystotome needle,3819.9144901243576,19.2,288,SAM3_simultaneous
P5,1,P5.1,novice,diamond keratome iso,322.0075115137539,8.6,129,SAM3_simultaneous
P5,1,P5.1,novice,diamond keratome straight,973.672281516714,7.4,111,SAM3_simultaneous
P5,1,P5.1,novice,forceps,3382.0134152106184,55.86666666666667,838,SAM3_simultaneous
P5,1,P5.1,novice,viscoelastic cannula,2359.711370193751,17.866666666666667,268,SAM3_simultaneous
P5,2,P5.2,novice,capsulorhexis forceps,5890.26982137487,46.46666666666667,697,SAM3_simultaneous
P5,2,P5.2,novice,cystotome needle,932.6535447144272,21.933333333333334,329,SAM3_simultaneous
P5,2,P5.2,novice,diamond keratome iso,1307.486119718793,4.533333333333333,68,SAM3_simultaneous
P5,2,P5.2,novice,diamond keratome straight,1104.9411966232296,8.333333333333334,125,SAM3_simultaneous
P5,2,P5.2,novice,forceps,6794.263112422455,46.93333333333333,704,SAM3_simultaneous
P5,2,P5.2,novice,viscoelastic cannula,1481.892188180846,16.333333333333332,245,SAM3_simultaneous
P5,3,P5.3,novice,capsulorhexis forceps,5316.194097226604,39.06666666666667,586,SAM3_simultaneous
P5,3,P5.3,novice,cystotome needle,1195.3706611848122,17.133333333333333,257,SAM3_simultaneous
P5,3,P5.3,novice,diamond keratome iso,739.2019429160868,2.6,39,SAM3_simultaneous
P5,3,P5.3,novice,diamond keratome straight,754.3326922223575,6.8,102,SAM3_simultaneous
P5,3,P5.3,novice,forceps,4818.88370525119,46.6,699,SAM3_simultaneous
P5,3,P5.3,novice,viscoelastic cannula,1627.7939642110784,16.466666666666665,247,SAM3_simultaneous
P5,4,P5.4,novice,capsulorhexis forceps,1987.311645935266,54.6,819,SAM3_simultaneous
P5,4,P5.4,novice,cystotome needle,1032.4573056904371,13.8,207,SAM3_simultaneous
P5,4,P5.4,novice,diamond keratome iso,380.82042831170554,2.2666666666666666,34,SAM3_simultaneous
P5,4,P5.4,novice,diamond keratome straight,670.0512783260732,7.066666666666666,106,SAM3_simultaneous
P5,4,P5.4,novice,forceps,7532.097766181077,42.4,636,SAM3_simultaneous
P5,4,P5.4,novice,viscoelastic cannula,2090.0952298151037,16.466666666666665,247,SAM3_simultaneous
P5,5,P5.5,novice,capsulorhexis forceps,7044.671400992658,48.2,723,SAM3_simultaneous
P5,5,P5.5,novice,cystotome needle,1201.642526511566,11.8,177,SAM3_simultaneous
P5,5,P5.5,novice,diamond keratome iso,342.08960774484603,6.333333333333333,95,SAM3_simultaneous
P5,5,P5.5,novice,diamond keratome straight,878.9233730742285,8.2,123,SAM3_simultaneous
P5,5,P5.5,novice,forceps,2160.794298622874,44.93333333333333,674,SAM3_simultaneous
P5,5,P5.5,novice,viscoelastic cannula,1844.6070265558237,14.933333333333334,224,SAM3_simultaneous
P1,1,P1.1,expert,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P1,1,P1.1,expert,cystotome needle,7359.438026821463,55.8,837,SAM3_sequential
P1,1,P1.1,expert,diamond keratome iso,494.2738091203982,6.333333333333333,95,SAM3_sequential
P1,1,P1.1,expert,diamond keratome straight,1025.0161841554307,11.666666666666666,175,SAM3_sequential
P1,1,P1.1,expert,forceps,4131.476087440339,59.86666666666667,898,SAM3_sequential
P1,1,P1.1,expert,viscoelastic cannula,2429.6316865438857,17.533333333333335,263,SAM3_sequential
P1,2,P1.2,expert,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P1,2,P1.2,expert,cystotome needle,2732.0039899133103,25.866666666666667,388,SAM3_sequential
P1,2,P1.2,expert,diamond keratome iso,262.96481995394976,4.133333333333334,62,SAM3_sequential
P1,2,P1.2,expert,diamond keratome straight,887.9891275206026,9.6,144,SAM3_sequential
P1,2,P1.2,expert,forceps,4626.034747608554,48.266666666666666,724,SAM3_sequential
P1,2,P1.2,expert,viscoelastic cannula,1197.7043194610299,9.2,138,SAM3_sequential
P1,3,P1.3,expert,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P1,3,P1.3,expert,cystotome needle,2757.030138006889,26.2,393,SAM3_sequential
P1,3,P1.3,expert,diamond keratome iso,730.8057617683728,8.866666666666667,133,SAM3_sequential
P1,3,P1.3,expert,diamond keratome straight,3217.2566374538064,19.2,288,SAM3_sequential
P1,3,P1.3,expert,forceps,12984.125552213945,46.0,690,SAM3_sequential
P1,3,P1.3,expert,viscoelastic cannula,1402.987474327754,8.6,129,SAM3_sequential
P1,4,P1.4,expert,capsulorhexis forceps,0.0,0.0,0,SAM3_sequential
P1,4,P1.4,expert,cystotome needle,1108.7398613760886,13.333333333333334,200,SAM3_sequential
P1,4,P1.4,expert,diamond keratome iso,449.0752619767552,7.866666666666666,118,SAM3_sequential
P1,4,P1.4,expert,diamond keratome straight,1845.5651914660261,13.066666666666666,196,SAM3_sequential
